COD_MARCA,MARCA,COD_PROD,PRODUCTO,CANAL,CIUDAD,DISTRITO,FECHA_FACT,FAMILIA,NRO_FACT,MALL,CANTIDAD,RETAILER,PRECIO_UNIT,COD_CLIENTE
419,SAMSUNG,336,TV,TIENDA DEPARTAMENTAL,CUSCO,CUSCO,20/01/2019,ELECTRONICA,32159498,REAL PLAZA CUSCO,1,OECHSLE,5299,105067
384,OSTER,364,PLANCHAS,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO,4/02/2018,PEDS,31217728,SIN MALL,11,METRO,99.73,106464
419,SAMSUNG,346,REFRIGERADORES,HIPERMERCADO,LIMA METROPOLITANA,SAN MIGUEL,11/02/2018,LINEA BLANCA,31405018,OPEN PLAZA SAN MIGUEL,2,TOTTUS,1299,105687
398,BLACK&DECKER,361,LICUADORAS,TIENDA DEPARTAMENTAL,VIRTUAL,ONLINE,7/01/2018,PEDS,31732651,SIN MALL,1,RIPLEY,299,105100
419,SAMSUNG,336,TV,HIPERMERCADO,PUNO,PUNO,6/01/2019,ELECTRONICA,32213635,SIN MALL,2,PLAZA VEA,649,105179
384,OSTER,361,LICUADORAS,ESPECIALISTA,CAJAMARCA,CAJAMARCA,3/02/2019,PEDS,31694360,SIN MALL,1,ELEKTRA,134.2,105789
384,OSTER,349,MICROONDAS,ESPECIALISTA,AREQUIPA,AREQUIPA,17/02/2019,LINEA BLANCA,32086784,SIN MALL,1,CURACAO,276.4,105628
415,COLDEX,348,COCINAS,ESPECIALISTA,AYACUCHO,AYACUCHO,3/02/2019,LINEA BLANCA,32036635,SIN MALL,1,CURACAO,823.5,106666
432,LENOVO,355,LAPTOPS,ESPECIALISTA,CUSCO,CUSCO,6/01/2019,COMPUTO,32449536,SIN MALL,1,GALLO MAS GALLO,3538.82,106189
395,NEX,337,AUDIO HOME SYS.,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO,18/02/2018,ELECTRONICA,31249624,SIN MALL,1,METRO,199,105156
419,SAMSUNG,336,TV,TIENDA DEPARTAMENTAL,HUANUCO,HUANUCO,27/01/2019,ELECTRONICA,32164733,REAL PLAZA HUANUCO,1,OECHSLE,1899,106859
431,HP,357,PC,HIPERMERCADO,LIMA METROPOLITANA,PUENTE PIEDRA,13/01/2019,COMPUTO,32236824,SIN MALL,3,PLAZA VEA,1499,106877
430,ASUS,355,LAPTOPS,TIENDA DEPARTAMENTAL,JUNIN,HUANCAYO,14/01/2018,COMPUTO,32151865,REAL PLAZA HUANCAYO,1,OECHSLE,999,106784
384,OSTER,364,PLANCHAS,HIPERMERCADO,LIMA METROPOLITANA,SAN ISIDRO,4/02/2018,PEDS,32307613,SIN MALL,1,PLAZA VEA,99.9,105031
384,OSTER,361,LICUADORAS,HIPERMERCADO,CAJAMARCA,CAJAMARCA,20/01/2019,PEDS,31353519,OPEN PLAZA CAJAMARCA,6,TOTTUS,126.26,106341
419,SAMSUNG,347,LAVADORAS,ESPECIALISTA,PIURA,PAITA,18/02/2018,LINEA BLANCA,32077297,SIN MALL,1,TIENDAS EFE,892.06,105033
412,DAEWOO,336,TV,HIPERMERCADO,ICA,CHINCHA,14/01/2018,ELECTRONICA,31320785,SIN MALL,3,TOTTUS,599,106477
389,THOMAS,372,HERVIDORES,HIPERMERCADO,LIMA METROPOLITANA,PUENTE PIEDRA,28/01/2018,PEDS,31361032,SIN MALL,2,TOTTUS,79.9,106725
383,IMACO,372,HERVIDORES,HIPERMERCADO,ICA,CHINCHA,13/01/2019,PEDS,32243810,SIN MALL,1,PLAZA VEA,35.98,105449
418,MABE,352,CONGELADORES,ESPECIALISTA,PIURA,TALARA,17/02/2019,LINEA BLANCA,32439943,SIN MALL,-1,GALLO MAS GALLO,1414.82,105565
419,SAMSUNG,336,TV,HIPERMERCADO,TRUJILLO,TRUJILLO,6/01/2019,ELECTRONICA,31309223,SIN MALL,1,TOTTUS,1299,106236
384,OSTER,361,LICUADORAS,TIENDA DEPARTAMENTAL,PIURA,PIURA,11/02/2018,PEDS,32173445,SIN MALL,1,OECHSLE,149.4,106921
415,COLDEX,346,REFRIGERADORES,ESPECIALISTA,PIURA,TAMBO GRANDE,18/02/2018,LINEA BLANCA,31898018,SIN MALL,1,MARCIMEX,919,106567
389,THOMAS,369,CAFETERAS,HIPERMERCADO,LIMA METROPOLITANA,MIRAFLORES,7/01/2018,PEDS,31165028,SIN MALL,1,WONG,149,106927
417,LG,347,LAVADORAS,HIPERMERCADO,PUNO,PUNO,13/01/2019,LINEA BLANCA,32240123,SIN MALL,1,PLAZA VEA,1999,105990
444,EPSON,360,MULTIFUNCIONAL,TIENDA DEPARTAMENTAL,LAMBAYEQUE,CHICLAYO,10/02/2019,COMPUTO,31821209,SIN MALL,1,RIPLEY,799,105911
396,TAURUS,364,PLANCHAS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,INDEPENDENCIA,13/01/2019,PEDS,31757433,PLAZA NORTE,1,RIPLEY,58.96,105446
415,COLDEX,352,CONGELADORES,ESPECIALISTA,LIMA METROPOLITANA,LOS OLIVOS,13/01/2019,LINEA BLANCA,31952034,SIN MALL,2,CURACAO,826.95,106718
389,THOMAS,377,ASPIRADORAS,HIPERMERCADO,LIMA METROPOLITANA,ATE,13/01/2019,PEDS,32237966,SIN MALL,2,PLAZA VEA,159,105328
448,SONY,337,AUDIO HOME SYS.,ESPECIALISTA,SAN MARTIN,TARAPOTO,18/02/2018,ELECTRONICA,31102922,SIN MALL,2,CREDIVARGAS,575,105429
384,OSTER,361,LICUADORAS,HIPERMERCADO,JUNIN,HUANCAYO,11/02/2018,PEDS,31411475,OPEN PLAZA HUANCAYO,1,TOTTUS,399,106003
417,LG,1018,REPRODUCTORES DE VIDEO,ESPECIALISTA,LIMA METROPOLITANA,VILLA EL SALVADOR,21/01/2018,ELECTRONICA,31678499,SIN MALL,1,ELEKTRA,276,105239
419,SAMSUNG,346,REFRIGERADORES,ESPECIALISTA,LIMA METROPOLITANA,VILLA EL SALVADOR,14/01/2018,LINEA BLANCA,31671296,SIN MALL,3,ELEKTRA,1309,106981
415,COLDEX,348,COCINAS,ESPECIALISTA,ANCASH,HUARAZ,7/01/2018,LINEA BLANCA,31664114,SIN MALL,1,ELEKTRA,939,105356
418,MABE,352,CONGELADORES,ESPECIALISTA,CUSCO,URUBAMBA,17/02/2019,LINEA BLANCA,32439532,SIN MALL,1,GALLO MAS GALLO,1532.82,107002
419,SAMSUNG,346,REFRIGERADORES,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES,20/01/2019,LINEA BLANCA,31771922,MALL DEL SUR,6,RIPLEY,2415.67,106428
395,NEX,364,PLANCHAS,HIPERMERCADO,LIMA METROPOLITANA,LA MOLINA,21/01/2018,PEDS,31193185,SIN MALL,1,WONG,79.9,105102
389,THOMAS,369,CAFETERAS,TIENDA DEPARTAMENTAL,CALLAO,BELLAVISTA,4/02/2018,PEDS,31795502,MALL AVENTURA PLAZA BELLAVISTA,1,RIPLEY,89,106630
386,PHILIPS,344,AFEITADORAS,TIENDA DEPARTAMENTAL,TRUJILLO,TRUJILLO,14/01/2018,CUIDADO PERSONAL,31745167,MALL PLAZA TRUJILLO,1,RIPLEY,119.2,106181
415,COLDEX,352,CONGELADORES,ESPECIALISTA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES,14/01/2018,LINEA BLANCA,31115535,SIN MALL,1,CARSA,1552.88,105864
417,LG,346,REFRIGERADORES,ESPECIALISTA,CAJAMARCA,JAEN,10/02/2019,LINEA BLANCA,32058354,SIN MALL,1,CURACAO,1296.82,105360
389,THOMAS,372,HERVIDORES,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES,4/02/2018,PEDS,31570127,OPEN PLAZA ATOCONGO,1,FALABELLA,99,106002
389,THOMAS,361,LICUADORAS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,INDEPENDENCIA,21/01/2018,PEDS,31534948,MEGA PLAZA INDEPENDENCIA,1,FALABELLA,199,105616
419,SAMSUNG,349,MICROONDAS,HIPERMERCADO,JUNIN,HUANCAYO,21/01/2018,LINEA BLANCA,31341881,OPEN PLAZA HUANCAYO,1,TOTTUS,299,105509
419,SAMSUNG,347,LAVADORAS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,SAN MIGUEL,7/01/2018,LINEA BLANCA,31726164,PLAZA SAN MIGUEL,0,RIPLEY,0,106752
392,BOSCH,348,COCINAS,HIPERMERCADO,TACNA,TACNA,6/01/2019,LINEA BLANCA,32213012,SIN MALL,1,PLAZA VEA,1999,106806
419,SAMSUNG,346,REFRIGERADORES,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES,4/02/2018,LINEA BLANCA,32169361,MALL DEL SUR,1,OECHSLE,2499,106046
427,ACER,355,LAPTOPS,TIENDA DEPARTAMENTAL,LAMBAYEQUE,CHICLAYO,3/02/2019,COMPUTO,31581792,REAL PLAZA CHICLAYO,2,FALABELLA,1573,106156
415,COLDEX,352,CONGELADORES,TIENDA DEPARTAMENTAL,NORTE CHICO,HUACHO,11/02/2018,LINEA BLANCA,32488325,SIN MALL,2,ESTILOS,2046.52,106771
433,AOC,336,TV,TIENDA DEPARTAMENTAL,PIURA,PIURA,14/01/2018,ELECTRONICA,31518774,SIN MALL,1,FALABELLA,1248.99,105968
996,ORIZON,336,TV,ESPECIALISTA,MADRE DE DIOS,PUERTO MALDONADO,21/01/2018,ELECTRONICA,31965610,SIN MALL,1,CURACAO,706.81,106959
383,IMACO,364,PLANCHAS,HIPERMERCADO,LAMBAYEQUE,CHICLAYO,4/02/2018,PEDS,32301817,REAL PLAZA CHICLAYO,4,PLAZA VEA,49.9,106728
419,SAMSUNG,349,MICROONDAS,HIPERMERCADO,CUSCO,CUSCO,21/01/2018,LINEA BLANCA,32254701,REAL PLAZA CUSCO,1,PLAZA VEA,249,106378
431,HP,355,LAPTOPS,ESPECIALISTA,ICA,CHINCHA,4/02/2018,COMPUTO,31130238,SIN MALL,1,CARSA,2740.63,106407
444,EPSON,360,MULTIFUNCIONAL,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,INDEPENDENCIA,28/01/2018,COMPUTO,31780129,PLAZA NORTE,1,RIPLEY,749.1,106108
419,SAMSUNG,336,TV,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO,14/01/2018,ELECTRONICA,32224920,SIN MALL,2,PLAZA VEA,2099,105844
419,SAMSUNG,336,TV,TIENDA DEPARTAMENTAL,AREQUIPA,AREQUIPA,20/01/2019,ELECTRONICA,32477205,SIN MALL,1,ESTILOS,799,105140
412,DAEWOO,336,TV,HIPERMERCADO,TRUJILLO,TRUJILLO,6/01/2019,ELECTRONICA,32211028,SIN MALL,3,PLAZA VEA,599,105217
383,IMACO,364,PLANCHAS,ESPECIALISTA,CAJAMARCA,CAJAMARCA,27/01/2019,PEDS,32003306,SIN MALL,2,CURACAO,14.9,105386
416,INDURAMA,348,COCINAS,TIENDA DEPARTAMENTAL,TRUJILLO,TRUJILLO,20/01/2019,LINEA BLANCA,31548684,MALL PLAZA TRUJILLO,1,FALABELLA,599,106310
389,THOMAS,372,HERVIDORES,ESPECIALISTA,LAMBAYEQUE,CHICLAYO,13/01/2019,PEDS,31947790,SIN MALL,1,CURACAO,119,106720
384,OSTER,372,HERVIDORES,TIENDA DEPARTAMENTAL,TRUJILLO,TRUJILLO,17/02/2019,PEDS,31623653,MALL PLAZA TRUJILLO,1,FALABELLA,178.99,105672
383,IMACO,361,LICUADORAS,HIPERMERCADO,NORTE CHICO,HUARAL,10/02/2019,PEDS,32351755,SIN MALL,1,PLAZA VEA,98.96,105720
398,BLACK&DECKER,364,PLANCHAS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,VILLA EL SALVADOR,20/01/2019,PEDS,32477563,SIN MALL,1,ESTILOS,89,106640
389,THOMAS,377,ASPIRADORAS,HIPERMERCADO,CUSCO,CUSCO,10/02/2019,PEDS,32347038,REAL PLAZA CUSCO,2,PLAZA VEA,159,106303
416,INDURAMA,348,COCINAS,ESPECIALISTA,NORTE CHICO,HUARAL,20/01/2019,LINEA BLANCA,31886523,SIN MALL,1,MARCIMEX,559,105777
1246,ENGLAND SOUND,337,AUDIO HOME SYS.,ESPECIALISTA,SUR CHICO,CAÑETE,6/01/2019,ELECTRONICA,31878889,SIN MALL,1,MARCIMEX,499,106752
444,EPSON,360,MULTIFUNCIONAL,HIPERMERCADO,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO,21/01/2018,COMPUTO,31337882,SIN MALL,2,TOTTUS,749,105529
383,IMACO,372,HERVIDORES,HIPERMERCADO,LIMA METROPOLITANA,SANTA ANITA,28/01/2018,PEDS,31361878,MALL AVENTURA SANTA ANITA,3,TOTTUS,59.9,106272
384,OSTER,364,PLANCHAS,ESPECIALISTA,HUANUCO,HUANUCO,20/01/2019,PEDS,31978192,SIN MALL,1,CURACAO,78.94,105829
427,ACER,355,LAPTOPS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,INDEPENDENCIA,3/02/2019,COMPUTO,31802943,MEGA PLAZA INDEPENDENCIA,2,RIPLEY,999,106698
419,SAMSUNG,346,REFRIGERADORES,ESPECIALISTA,LA LIBERTAD,HUAMACHUCO,20/01/2019,LINEA BLANCA,31976279,SIN MALL,1,CURACAO,1378.92,105960
413,ELECTROLUX,347,LAVADORAS,ESPECIALISTA,IQUITOS,IQUITOS,20/01/2019,LINEA BLANCA,31097758,SIN MALL,-1,CREDIVARGAS,616,105027
383,IMACO,372,HERVIDORES,ESPECIALISTA,PIURA,SULLANA,3/02/2019,PEDS,31892343,SIN MALL,1,MARCIMEX,49.98,106335
392,BOSCH,348,COCINAS,HIPERMERCADO,TRUJILLO,TRUJILLO,7/01/2018,LINEA BLANCA,31161718,SIN MALL,1,METRO,1299,106010
448,SONY,1018,REPRODUCTORES DE VIDEO,ESPECIALISTA,SUR CHICO,CAÑETE,7/01/2018,ELECTRONICA,31876972,SIN MALL,1,MARCIMEX,269,106494
383,IMACO,369,CAFETERAS,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO,20/01/2019,PEDS,32264677,SIN MALL,1,PLAZA VEA,41.98,105524
417,LG,346,REFRIGERADORES,ESPECIALISTA,ANCASH,HUARAZ,6/01/2019,LINEA BLANCA,31928086,SIN MALL,1,TIENDAS EFE,1605.73,105822
419,SAMSUNG,336,TV,ESPECIALISTA,CAJAMARCA,JAEN,18/02/2018,ELECTRONICA,31705609,SIN MALL,2,ELEKTRA,1199,106105
415,COLDEX,346,REFRIGERADORES,ESPECIALISTA,SAN MARTIN,TARAPOTO,7/01/2018,LINEA BLANCA,31094037,SIN MALL,2,CREDIVARGAS,1535,106826
1149,MICRONICS,337,AUDIO HOME SYS.,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,SURCO,13/01/2019,ELECTRONICA,27882252,JOCKEY PLAZA,1,PARIS S.A,639.99,106160
419,SAMSUNG,346,REFRIGERADORES,ESPECIALISTA,PUNO,PUNO,18/02/2018,LINEA BLANCA,32437264,SIN MALL,1,GALLO MAS GALLO,1414.82,105302
427,ACER,355,LAPTOPS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,SANTA ANITA,4/02/2018,COMPUTO,31797489,MALL AVENTURA SANTA ANITA,1,RIPLEY,1399,106560
384,OSTER,361,LICUADORAS,HIPERMERCADO,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO,10/02/2019,PEDS,31241991,SIN MALL,5,METRO,164.66,106515
448,SONY,337,AUDIO HOME SYS.,ESPECIALISTA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO,10/02/2019,ELECTRONICA,32069561,SIN MALL,1,TIENDAS EFE,2833.97,106199
427,ACER,355,LAPTOPS,HIPERMERCADO,JUNIN,HUANCAYO,6/01/2019,COMPUTO,32209571,SIN MALL,2,PLAZA VEA,949,105882
444,EPSON,360,MULTIFUNCIONAL,ESPECIALISTA,MOQUEGUA,ILO,10/02/2019,COMPUTO,32066590,SIN MALL,1,TIENDAS EFE,849,105432
413,ELECTROLUX,349,MICROONDAS,ESPECIALISTA,CUSCO,QUILLABAMBA,7/01/2018,LINEA BLANCA,31917954,SIN MALL,1,TIENDAS EFE,305.62,106224
412,DAEWOO,346,REFRIGERADORES,HIPERMERCADO,LIMA METROPOLITANA,LA VICTORIA,3/02/2019,LINEA BLANCA,31225511,SIN MALL,1,METRO,998.98,106839
391,BLACKLINE,361,LICUADORAS,HIPERMERCADO,LIMA METROPOLITANA,BARRANCO,13/01/2019,PEDS,32232771,SIN MALL,2,PLAZA VEA,109,105518
421,ORANGE,346,REFRIGERADORES,HIPERMERCADO,LIMA METROPOLITANA,LINCE,7/01/2018,LINEA BLANCA,32203833,CC RISSO,1,PLAZA VEA,499,106455
431,HP,357,PC,TIENDA DEPARTAMENTAL,VIRTUAL,ONLINE,21/01/2018,COMPUTO,31765591,SIN MALL,1,RIPLEY,1999,106360
417,LG,336,TV,HIPERMERCADO,TRUJILLO,TRUJILLO,10/02/2019,ELECTRONICA,31422017,OPEN PLAZA TRUJILLO,10,TOTTUS,1311.3,105127
419,SAMSUNG,336,TV,ESPECIALISTA,PIURA,PIURA,17/02/2019,ELECTRONICA,31898999,SIN MALL,1,MARCIMEX,1199.6,106892
432,LENOVO,355,LAPTOPS,TIENDA DEPARTAMENTAL,HUANUCO,HUANUCO,13/01/2019,COMPUTO,32153715,REAL PLAZA HUANUCO,1,OECHSLE,1699,106105
416,INDURAMA,348,COCINAS,HIPERMERCADO,SUR CHICO,CAÑETE,27/01/2019,LINEA BLANCA,31378307,SIN MALL,1,TOTTUS,649,105466
389,THOMAS,372,HERVIDORES,HIPERMERCADO,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO,21/01/2018,PEDS,32258757,SIN MALL,1,PLAZA VEA,129,105694
448,SONY,337,AUDIO HOME SYS.,HIPERMERCADO,LIMA METROPOLITANA,SURCO,7/01/2018,ELECTRONICA,32196111,SIN MALL,1,PLAZA VEA,699,106232
448,SONY,1018,REPRODUCTORES DE VIDEO,ESPECIALISTA,IQUITOS,IQUITOS,20/01/2019,ELECTRONICA,31097708,SIN MALL,1,CREDIVARGAS,275,105444
417,LG,337,AUDIO HOME SYS.,HIPERMERCADO,ANCASH,CHIMBOTE,20/01/2019,ELECTRONICA,32265203,SIN MALL,1,PLAZA VEA,299,106192
416,INDURAMA,346,REFRIGERADORES,HIPERMERCADO,LIMA METROPOLITANA,CERCADO DE LIMA,11/02/2018,LINEA BLANCA,31406476,SIN MALL,2,TOTTUS,924,106220
388,RECCO,336,TV,TIENDA DEPARTAMENTAL,VIRTUAL,ONLINE,13/01/2019,ELECTRONICA,31527999,SIN MALL,4,FALABELLA,898.99,106757
418,MABE,346,REFRIGERADORES,HIPERMERCADO,ANCASH,CHIMBOTE,10/02/2019,LINEA BLANCA,31424814,MEGA PLAZA CHIMBOTE,1,TOTTUS,1449,105277
384,OSTER,361,LICUADORAS,HIPERMERCADO,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO,14/01/2018,PEDS,31315141,SIN MALL,7,TOTTUS,186.36,106797
386,PHILIPS,364,PLANCHAS,TIENDA DEPARTAMENTAL,VIRTUAL,ONLINE,28/01/2018,PEDS,31782809,SIN MALL,2,RIPLEY,99.6,106770
417,LG,336,TV,ESPECIALISTA,LAMBAYEQUE,CHICLAYO,13/01/2019,ELECTRONICA,31947891,SIN MALL,1,CURACAO,1859.02,106582
384,OSTER,364,PLANCHAS,ESPECIALISTA,APURIMAC,ABANCAY,28/01/2018,PEDS,32001723,SIN MALL,1,TIENDAS EFE,68.95,105769
396,TAURUS,344,AFEITADORAS,HIPERMERCADO,LIMA METROPOLITANA,RIMAC,17/02/2019,CUIDADO PERSONAL,32377329,SIN MALL,1,PLAZA VEA,79.9,107001
435,HYUNDAI,336,TV,ESPECIALISTA,CAJAMARCA,JAEN,18/02/2018,ELECTRONICA,32071746,SIN MALL,1,CURACAO,1439.4,105608
419,SAMSUNG,336,TV,HIPERMERCADO,TRUJILLO,TRUJILLO,20/01/2019,ELECTRONICA,31197551,SIN MALL,1,METRO,2498.98,106492
416,INDURAMA,346,REFRIGERADORES,TIENDA DEPARTAMENTAL,CUSCO,CUSCO,11/02/2018,LINEA BLANCA,32173622,REAL PLAZA CUSCO,3,OECHSLE,625.88,105402
384,OSTER,361,LICUADORAS,HIPERMERCADO,CALLAO,CALLAO,4/02/2018,PEDS,31383353,SIN MALL,7,TOTTUS,224.91,106782
417,LG,337,AUDIO HOME SYS.,ESPECIALISTA,JUNIN,HUANCAYO,4/02/2018,ELECTRONICA,32026684,SIN MALL,1,TIENDAS EFE,798.94,106523
419,SAMSUNG,346,REFRIGERADORES,HIPERMERCADO,SUR CHICO,CAÑETE,7/01/2018,LINEA BLANCA,31298813,SIN MALL,5,TOTTUS,1219,106216
383,IMACO,361,LICUADORAS,TIENDA DEPARTAMENTAL,AREQUIPA,AREQUIPA,28/01/2018,PEDS,32478749,SIN MALL,1,ESTILOS,118.76,105834
392,BOSCH,348,COCINAS,TIENDA DEPARTAMENTAL,ICA,CHINCHA,10/02/2019,LINEA BLANCA,31822899,SIN MALL,2,RIPLEY,2374.02,106213
417,LG,347,LAVADORAS,ESPECIALISTA,CAJAMARCA,CAJAMARCA,4/02/2018,LINEA BLANCA,32016926,SIN MALL,1,CURACAO,1185.3,105151
389,THOMAS,377,ASPIRADORAS,TIENDA DEPARTAMENTAL,LIMA METROPOLITANA,MIRAFLORES,4/02/2018,PEDS,31577632,SIN MALL,1,FALABELLA,699,106189
396,TAURUS,361,LICUADORAS,HIPERMERCADO,LIMA METROPOLITANA,BREÑA,28/01/2018,PEDS,31202788,SIN MALL,1,METRO,111.94,105734
419,SAMSUNG,347,LAVADORAS,HIPERMERCADO,LIMA METROPOLITANA,ATE,18/02/2018,LINEA BLANCA,32358238,SIN MALL,3,PLAZA VEA,899,105825
444,EPSON,360,MULTIFUNCIONAL,ESPECIALISTA,LA LIBERTAD,CHEPEN,4/02/2018,COMPUTO,32024125,SIN MALL,1,TIENDAS EFE,733.95,106321
417,LG,346,REFRIGERADORES,HIPERMERCADO,LIMA METROPOLITANA,SAN BORJA,21/01/2018,LINEA BLANCA,32248401,SIN MALL,7,PLAZA VEA,763.29,106152
